ow,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R1C2,19:53.0,20:24.0,20:24.0,20:24.0,31,31,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R2C2,20:24.0,20:28.0,20:28.0,20:28.0,4,4,,1,0,0,1,Identifying units,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R3C2,20:28.0,21:18.0,21:50.0,21:50.0,82,,82,0,1,5,1,Using small numbers~~Write expression, positive slope~~Using difficult numbers,29~~16~~26,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R4C2,21:56.0,22:00.0,22:00.0,22:00.0,4,4,,1,0,0,1,Entering a given,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R5C1,22:00.0,22:13.0,22:13.0,22:13.0,13,13,,1,0,0,1,Entering a given,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R6C2,22:13.0,22:18.0,,22:18.0,5,,5,0,1,0,0,Using small numbers~~Using difficult numbers~~Find Y, any form,30~~27~~7,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R6C1,22:18.0,22:23.0,22:23.0,22:23.0,5,5,,1,0,0,1,Entering a given,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R7C2,22:23.0,22:30.0,22:30.0,22:30.0,7,7,,1,0,0,1,Entering a given,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
671,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,ValidEquations,22:30.0,23:09.0,23:09.0,23:35.0,47,47,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,0.25(X+56) = 55,23:09.0,23:15.0,23:15.0,23:15.0,6,6,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],82,,,,,,,,,,,,,,,,,,,,,,,,
673,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,X+56 = 220,23:15.0,23:22.0,23:22.0,23:22.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive],112~~18,,,,,,,,,,,,,,,,,
674,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R7C1,23:22.0,23:27.0,23:27.0,23:27.0,5,5,,1,0,0,1,Using small numbers~~Find X, positive slope~~Using difficult numbers,31~~28~~28,,,,,,,,,,,,,,,,,,,,,,,,,,,
675,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,0.25(X+56) = 64,23:35.0,23:42.0,23:42.0,23:42.0,7,7,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}],83,,,,,,,,,,,,,,,,,,,,,,,,
676,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,X+56 = 256,23:42.0,23:49.0,23:49.0,23:49.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive],113~~19,,,,,,,,,,,,,,,,,
677,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST04_SP,1,R4C1,21:50.0,21:56.0,23:53.0,23:53.0,10,,10,0,1,0,1,Using small numbers~~Find X, positive slope~~Using difficult numbers,32~~29~~29,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R1C1,24:21.0,24:57.0,25:12.0,25:12.0,51,,51,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
679,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R3C1,25:12.0,25:15.0,25:15.0,25:15.0,3,3,,1,0,0,1,Define Variable,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
680,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R1C2,25:15.0,25:30.0,25:30.0,25:30.0,15,15,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R2C2,25:30.0,25:37.0,25:37.0,25:37.0,7,7,,1,0,0,1,Identifying units,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R3C2,25:37.0,26:02.0,26:51.0,26:51.0,74,,74,0,3,6,1,Using simple numbers~~Write expression, positive slope~~Using large numbers,24~~17~~21,,,,,,,,,,,,,,,,,,,,,,,,,,,
683,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R4C1,26:51.0,26:55.0,26:55.0,26:55.0,4,4,,1,0,0,1,Entering a given,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R5C1,26:55.0,27:06.0,27:36.0,27:36.0,41,,41,0,1,0,1,Entering a given,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R6C2,27:43.0,27:50.0,27:50.0,27:50.0,7,7,,1,0,0,1,Entering a given,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R7C2,27:50.0,28:02.0,28:02.0,28:02.0,12,12,,1,0,0,1,Entering a given,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,ValidEquations,28:02.0,28:33.0,28:33.0,30:55.0,41,41,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,(1/3)(15X+975) = 4000,28:33.0,28:36.0,28:49.0,28:49.0,16,,16,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,(15X+975)/3 = 4000,28:49.0,30:08.0,30:22.0,30:22.0,93,,93,0,1,3,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],84~~74,,,,,,,,,,,,,,,,
690,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,15X+975 = 12000,30:22.0,30:31.0,30:31.0,30:31.0,9,9,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],114,,,,,,,,,,,,,,,,,,
691,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,15X = 11025,30:31.0,30:36.0,30:36.0,30:36.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],18~~75,,,,,,,,,,,,,,,,,,,
692,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R6C1,27:36.0,27:43.0,30:45.0,30:45.0,16,,16,0,1,0,1,Using simple numbers~~Using large numbers~~Find X, positive slope,25~~22~~30,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,(1/3)(15X+975) = 3160,30:55.0,31:04.0,31:10.0,31:10.0,15,,15,0,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
694,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,(15X+975)/3 = 3160,31:10.0,31:17.0,31:28.0,31:28.0,18,,18,0,0,3,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],85~~76,,,,,,,,,,,,,,,,
695,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,15X+975 = 9480,31:28.0,31:35.0,31:35.0,31:35.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],115,,,,,,,,,,,,,,,,,,
696,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,15X = 8505,31:35.0,31:41.0,31:41.0,31:41.0,6,6,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],19~~77,,,,,,,,,,,,,,,,,,,
697,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DISTFB08_SP,1,R7C1,31:41.0,31:49.0,31:49.0,31:49.0,8,8,,1,0,0,1,Using simple numbers~~Using large numbers~~Find X, positive slope,26~~23~~31,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R1C1,31:56.0,34:01.0,34:01.0,34:01.0,125,125,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R2C1,34:01.0,34:22.0,34:34.0,34:34.0,33,,33,0,2,2,1,Identifying units,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R3C1,34:34.0,34:38.0,34:38.0,34:38.0,4,4,,1,0,0,1,Define Variable,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R1C2,34:38.0,34:53.0,34:53.0,34:53.0,15,15,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R2C2,34:53.0,35:04.0,35:04.0,35:04.0,11,11,,1,0,0,1,Identifying units,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R3C2,35:04.0,35:19.0,36:18.0,36:18.0,74,,74,0,5,6,1,Using small numbers~~Write expression, positive slope~~Using difficult numbers,33~~18~~30,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R4C2,37:25.0,37:29.0,37:29.0,37:29.0,4,4,,1,0,0,1,Entering a given,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R5C2,37:29.0,37:43.0,,37:43.0,14,,14,0,1,0,0,Using small numbers~~Using difficult numbers~~Find Y, any form,34~~31~~8,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R5C1,37:43.0,37:53.0,37:53.0,37:53.0,10,10,,1,0,0,1,Entering a given,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R6C1,37:53.0,38:20.0,38:20.0,38:20.0,27,27,,1,0,0,1,Entering a given,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R7C2,38:20.0,38:34.0,38:34.0,38:34.0,14,14,,1,0,0,1,Entering a given,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,ValidEquations,38:50.0,39:11.0,39:11.0,49:43.0,48,48,,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,1/5*(X-200) = 160,39:12.0,39:52.0,45:12.0,45:12.0,360,,360,0,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,(X-200)/5 = 160,45:12.0,48:32.0,49:02.0,49:02.0,230,,230,0,1,3,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],86~~78,,,,,,,,,,,,,,,,
712,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,X-200 = 800,49:02.0,49:09.0,49:09.0,49:09.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative],116~~19,,,,,,,,,,,,,,,,,
713,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,R4C1,36:18.0,37:25.0,49:17.0,49:17.0,91,,91,0,2,4,1,Using small numbers~~Find X, positive slope~~Using difficult numbers,35~~32~~32,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,1/5*(X-200) = 575,49:43.0,49:49.0,50:08.0,50:08.0,25,,25,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,(X-200)/5 = 575,50:08.0,50:15.0,50:15.0,50:15.0,7,7,,1,0,0,1,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],87~~79,,,,,,,,,,,,,,,,
716,0BrbPbwCMz,Unit CTA1_10, Section CTA1_10-5,DIST05_SP,1,X-200 = 2875,50:15.0,50:22.0,50:22.0,50:22.0,7,7,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate negative; x+a=b, negative],117~~20,,,,,,,,,,,,,,,,,
770,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,a*y+b*y+m = n,41:37.0,41:46.0,43:28.0,44:33.0,139,,139,0,2,0,2,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],125~~3,,,,,,,,,,,,,,,,,,
771,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,y*(a+b)+m = n,43:28.0,43:56.0,43:56.0,43:56.0,28,28,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],81,,,,,,,,,,,,,,,,,,,,
772,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,(y*(a+b)+m)/(a+b) = n/(a+b),43:56.0,44:05.0,,44:05.0,9,,9,0,1,0,0,[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],91~~82,,,,,,,,,,,,,,,,
773,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,a*y+b*y+m-m = n-m,44:33.0,44:36.0,44:36.0,44:36.0,3,3,,1,0,0,1,[SkillRule: Consolidate vars with coeff; CLT],27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,a*y+b*y = n-m,44:36.0,44:43.0,44:43.0,44:43.0,7,7,,1,0,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,y*(a+b) = n-m,44:43.0,44:51.0,44:51.0,44:51.0,8,8,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],83,,,,,,,,,,,,,,,,,,,,
776,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT47,1,y*(a+b)/(a+b) = (n-m)/(a+b),44:51.0,44:56.0,44:56.0,44:56.0,5,5,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT51,1,x+m = n*q+r*q,45:02.0,46:28.0,46:48.0,46:48.0,106,,106,0,2,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT51,1,x+m = q*(n+r),46:48.0,46:59.0,46:59.0,46:59.0,11,11,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],84,,,,,,,,,,,,,,,,,,,,
779,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT51,1,(x+m)/(n+r) = q*(n+r)/(n+r),46:59.0,47:10.0,47:10.0,47:10.0,11,11,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT52,1,g*r+5n = y*f+r*f,47:14.0,47:31.0,47:31.0,47:31.0,17,17,,1,0,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT52,1,g*r+5n = f*(y+r),47:31.0,47:52.0,47:52.0,47:52.0,21,21,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],85,,,,,,,,,,,,,,,,,,,,
782,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT52,1,(g*r+5n)/(y+r) = f*(y+r)/(y+r),47:52.0,48:02.0,48:02.0,48:02.0,10,10,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT49,1,3n-w*n = w,48:06.0,48:14.0,48:14.0,48:14.0,8,8,,1,0,0,1,[SkillRule: Extract to consolidate vars; {factor; factorb; factorc; factord}],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT49,1,n*(3-w) = w,48:14.0,48:25.0,48:25.0,48:25.0,11,11,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],86,,,,,,,,,,,,,,,,,,,,
785,0BrbPbwCMz,Unit ES_07, Section ES_07-1,LIT49,1,n*(3-w)/(3-w) = w/(3-w),48:25.0,48:39.0,48:39.0,48:39.0,14,14,,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
